id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
ieu-b-4957	10000_28_CRYBB2_CRBB2	ieu-b-4957	10000_28_CRYBB2_CRBB2	4.34636878254347e-06	2.61703711142686e-05	FALSE	NA
ieu-b-4957	10001_7_RAF1_c_Raf	ieu-b-4957	10001_7_RAF1_c_Raf	2.7953175130185e-06	1.61656604339382e-05	FALSE	NA
ieu-b-4957	10003_15_ZNF41_ZNF41	ieu-b-4957	10003_15_ZNF41_ZNF41	6.45241901412955e-06	3.8866729394388e-05	FALSE	NA
ieu-b-4957	10006_25_ELK1_ELK1	ieu-b-4957	10006_25_ELK1_ELK1	1.08945277788589e-05	6.61127812774904e-05	FALSE	NA
ieu-b-4957	10008_43_GUCA1A_GUC1A	ieu-b-4957	10008_43_GUCA1A_GUC1A	1.6704047804109e-05	9.93514739964797e-05	FALSE	NA
ieu-b-4957	10011_65_OCRL_OCRL	ieu-b-4957	10011_65_OCRL_OCRL	9.16331327100044e-06	5.39082471836552e-05	FALSE	NA
ieu-b-4957	10012_5_SPDEF_SPDEF	ieu-b-4957	10012_5_SPDEF_SPDEF	1.66296373190187e-06	9.70905366086816e-06	FALSE	NA
ieu-b-4957	10014_31_SNAI2_SLUG	ieu-b-4957	10014_31_SNAI2_SLUG	6.72614237649742e-07	4.00599101076621e-06	FALSE	NA
ieu-b-4957	10015_119_KCNAB2_KCAB2	ieu-b-4957	10015_119_KCNAB2_KCAB2	7.98680458248218e-06	4.76969186255761e-05	FALSE	NA
ieu-b-4957	10022_207_POLH_POLH	ieu-b-4957	10022_207_POLH_POLH	4.28173677648379e-06	2.66341126480588e-05	FALSE	NA
ieu-b-4957	10023_32_VDR_VDR	ieu-b-4957	10023_32_VDR_VDR	5.16009388802364e-06	3.01744240811552e-05	FALSE	NA
ieu-b-4957	10024_44_HOGA1_HOGA1	ieu-b-4957	10024_44_HOGA1_HOGA1	8.92915895845333e-07	5.39746184745686e-06	FALSE	NA
ieu-b-4957	10030_8_MUTYH_MutY_homolog	ieu-b-4957	10030_8_MUTYH_MutY_homolog	3.59262117997932e-06	2.23175587612316e-05	FALSE	NA
ieu-b-4957	10035_6_DUSP4_DUS4	ieu-b-4957	10035_6_DUSP4_DUS4	2.20401827836911e-06	1.31119905925745e-05	FALSE	NA
ieu-b-4957	10036_201_ZHX3_ZHX3	ieu-b-4957	10036_201_ZHX3_ZHX3	1.06132026201796e-06	5.95453672062419e-06	FALSE	NA
ieu-b-4957	10037_98_SIGLEC12_SIG12	ieu-b-4957	10037_98_SIGLEC12_SIG12	1.49859746859753e-05	8.70519443488334e-05	FALSE	NA
ieu-b-4957	10040_63_TP63_P73L	ieu-b-4957	10040_63_TP63_P73L	8.45210043306179e-07	5.15364723981208e-06	FALSE	NA
ieu-b-4957	10041_3_HNF4A_HNF4A	ieu-b-4957	10041_3_HNF4A_HNF4A	8.55972846138391e-06	4.5422932093681e-05	FALSE	NA
ieu-b-4957	10042_8_SGK3_SGK3	ieu-b-4957	10042_8_SGK3_SGK3	4.12884183422575e-06	2.37441964922227e-05	FALSE	NA
ieu-b-4957	10043_31_BRD4_BRD4	ieu-b-4957	10043_31_BRD4_BRD4	8.79643106989722e-06	5.20227305103357e-05	FALSE	NA
ieu-b-4957	10044_12_WNT10A_WN10A	ieu-b-4957	10044_12_WNT10A_WN10A	6.66982098105653e-06	3.99928804707051e-05	FALSE	NA
ieu-b-4957	10045_47_CUL3_CUL3	ieu-b-4957	10045_47_CUL3_CUL3	1.04766292385842e-05	6.10029512365461e-05	FALSE	NA
ieu-b-4957	10046_55_BIRC2_cIAP_1	ieu-b-4957	10046_55_BIRC2_cIAP_1	4.02222849738669e-06	2.10723895772922e-05	FALSE	NA
ieu-b-4957	10047_12_NCF2_NCF_2	ieu-b-4957	10047_12_NCF2_NCF_2	4.94026018071694e-06	2.89266478462527e-05	FALSE	NA
ieu-b-4957	10048_7_CBFB_PEBB	ieu-b-4957	10048_7_CBFB_PEBB	9.04728837522688e-06	5.29810903360081e-05	FALSE	NA
ieu-b-4957	10049_112_TERF1_TERF1	ieu-b-4957	10049_112_TERF1_TERF1	3.86076784131458e-06	2.29515304376777e-05	FALSE	NA
ieu-b-4957	10053_5_ILK_ILK1	ieu-b-4957	10053_5_ILK_ILK1	1.48207931168097e-05	8.23437865487447e-05	FALSE	NA
ieu-b-4957	10054_3_GAN_GAN	ieu-b-4957	10054_3_GAN_GAN	1.32788428857207e-05	8.05631346609199e-05	FALSE	NA
ieu-b-4957	10056_5_FOXM1_FOXM1	ieu-b-4957	10056_5_FOXM1_FOXM1	1.99989097372562e-05	0.000113267300688021	FALSE	NA
ieu-b-4957	10058_1_RAD23A_RD23A	ieu-b-4957	10058_1_RAD23A_RD23A	1.15995985780623e-05	6.73651147745984e-05	FALSE	NA
ieu-b-4957	10063_10_FANCL_FANCL	ieu-b-4957	10063_10_FANCL_FANCL	3.10953877618252e-06	1.85944290969239e-05	FALSE	NA
ieu-b-4957	10064_12_RBBP9_RBBP9	ieu-b-4957	10064_12_RBBP9_RBBP9	4.9501788570972e-06	2.86777974055187e-05	FALSE	NA
ieu-b-4957	10070_22_PLCG2_PLCG2	ieu-b-4957	10070_22_PLCG2_PLCG2	1.2131856458359e-05	6.99276500131036e-05	FALSE	NA
ieu-b-4957	10073_22_TDP1_TYDP1	ieu-b-4957	10073_22_TDP1_TYDP1	3.77425969220133e-06	2.22471033357175e-05	FALSE	NA
ieu-b-4957	10074_128_BRD2_BRD2	ieu-b-4957	10074_128_BRD2_BRD2	1.19703780742876e-06	7.0826447212545e-06	FALSE	NA
ieu-b-4957	10075_75_ACBD6_ACBD6	ieu-b-4957	10075_75_ACBD6_ACBD6	4.33173903423159e-06	2.40484612370757e-05	FALSE	NA
ieu-b-4957	10076_1_AP4M1_AP4M1	ieu-b-4957	10076_1_AP4M1_AP4M1	8.13218047660968e-06	4.81008970516414e-05	FALSE	NA
ieu-b-4957	10078_5_BAG3_BAG3	ieu-b-4957	10078_5_BAG3_BAG3	3.31932518986468e-06	1.98336029008454e-05	FALSE	NA
